PERIODO;FECHA;TIPO_VISITAS;VISITAS
201601;17/01/2016;DISC. ACOMPAÑANTE;0
201601;17/01/2016;DISCAPACITADOS;0
201601;17/01/2016;ESCUELAS PRIVADAS;0
201601;17/01/2016;ESCUELAS PUBLICAS;0
201601;17/01/2016;EXTRANJEROS;0
201601;17/01/2016;GUIA ACOMPAÑANTE;0
201601;17/01/2016;INVITACION;0
201601;17/01/2016;JUBILADOS;0
201601;17/01/2016;MENORES;0
201601;17/01/2016;UNIV. RESIDENTES;0
201601;17/01/2016;GENERAL;296
201601;17/01/2016;RESIDENTES;335
201601;18/01/2016;DISC. ACOMPAÑANTE;0
201601;18/01/2016;DISCAPACITADOS;0
201601;18/01/2016;ESCUELAS PRIVADAS;0
201601;18/01/2016;ESCUELAS PUBLICAS;0
201601;18/01/2016;EXTRANJEROS;0
201601;18/01/2016;GUIA ACOMPAÑANTE;0
201601;18/01/2016;INVITACION;0
201601;18/01/2016;MENORES;0
201601;18/01/2016;UNIV. RESIDENTES;48
201601;18/01/2016;JUBILADOS;69
201601;18/01/2016;RESIDENTES;314
201601;18/01/2016;GENERAL;545
201601;19/01/2016;DISC. ACOMPAÑANTE;0
201601;19/01/2016;DISCAPACITADOS;0
201601;19/01/2016;ESCUELAS PRIVADAS;0
201601;19/01/2016;ESCUELAS PUBLICAS;0
201601;19/01/2016;EXTRANJEROS;0
201601;19/01/2016;GUIA ACOMPAÑANTE;0
201601;19/01/2016;INVITACION;0
201601;19/01/2016;JUBILADOS;0
201601;19/01/2016;MENORES;0
201601;19/01/2016;UNIV. RESIDENTES;0
201601;19/01/2016;RESIDENTES;394
201601;19/01/2016;GENERAL;488
201601;20/01/2016;DISC. ACOMPAÑANTE;0
201601;20/01/2016;DISCAPACITADOS;0
201601;20/01/2016;ESCUELAS PRIVADAS;0
201601;20/01/2016;ESCUELAS PUBLICAS;0
201601;20/01/2016;EXTRANJEROS;0
201601;20/01/2016;GUIA ACOMPAÑANTE;0
201601;20/01/2016;INVITACION;0
201601;20/01/2016;JUBILADOS;0
201601;20/01/2016;MENORES;0
201601;20/01/2016;UNIV. RESIDENTES;0
201601;20/01/2016;RESIDENTES;398
201601;20/01/2016;GENERAL;469
201601;21/01/2016;DISC. ACOMPAÑANTE;0
201601;21/01/2016;DISCAPACITADOS;0
201601;21/01/2016;ESCUELAS PRIVADAS;0
201601;21/01/2016;ESCUELAS PUBLICAS;0
201601;21/01/2016;EXTRANJEROS;0
201601;21/01/2016;GUIA ACOMPAÑANTE;0
201601;21/01/2016;INVITACION;0
201601;21/01/2016;JUBILADOS;0
201601;21/01/2016;MENORES;0
201601;21/01/2016;UNIV. RESIDENTES;0
201601;21/01/2016;RESIDENTES;401
201601;21/01/2016;GENERAL;441
201601;22/01/2016;DISC. ACOMPAÑANTE;0
201601;22/01/2016;DISCAPACITADOS;0
201601;22/01/2016;ESCUELAS PRIVADAS;0
201601;22/01/2016;ESCUELAS PUBLICAS;0
201601;22/01/2016;EXTRANJEROS;0
201601;22/01/2016;GUIA ACOMPAÑANTE;0
201601;22/01/2016;INVITACION;0
201601;22/01/2016;JUBILADOS;0
201601;22/01/2016;MENORES;0
201601;22/01/2016;UNIV. RESIDENTES;0
201601;22/01/2016;RESIDENTES;308
201601;22/01/2016;GENERAL;448
201601;23/01/2016;DISC. ACOMPAÑANTE;0
201601;23/01/2016;DISCAPACITADOS;0
201601;23/01/2016;ESCUELAS PRIVADAS;0
201601;23/01/2016;ESCUELAS PUBLICAS;0
201601;23/01/2016;EXTRANJEROS;0
201601;23/01/2016;GUIA ACOMPAÑANTE;0
201601;23/01/2016;INVITACION;0
201601;23/01/2016;JUBILADOS;0
201601;23/01/2016;MENORES;0
201601;23/01/2016;UNIV. RESIDENTES;1
201601;23/01/2016;RESIDENTES;414
201601;23/01/2016;GENERAL;511
201601;24/01/2016;DISC. ACOMPAÑANTE;0
201601;24/01/2016;DISCAPACITADOS;0
201601;24/01/2016;ESCUELAS PRIVADAS;0
201601;24/01/2016;ESCUELAS PUBLICAS;0
201601;24/01/2016;EXTRANJEROS;0
201601;24/01/2016;GUIA ACOMPAÑANTE;0
201601;24/01/2016;INVITACION;0
201601;24/01/2016;JUBILADOS;0
201601;24/01/2016;MENORES;0
201601;24/01/2016;UNIV. RESIDENTES;0
201601;24/01/2016;RESIDENTES;293
201601;24/01/2016;GENERAL;385
201601;25/01/2016;DISC. ACOMPAÑANTE;0
201601;25/01/2016;DISCAPACITADOS;0
201601;25/01/2016;ESCUELAS PRIVADAS;0
201601;25/01/2016;ESCUELAS PUBLICAS;0
201601;25/01/2016;EXTRANJEROS;0
201601;25/01/2016;GUIA ACOMPAÑANTE;0
201601;25/01/2016;INVITACION;0
201601;25/01/2016;MENORES;0
201601;25/01/2016;UNIV. RESIDENTES;21
201601;25/01/2016;JUBILADOS;37
201601;25/01/2016;RESIDENTES;151
201601;25/01/2016;GENERAL;298
201601;26/01/2016;DISC. ACOMPAÑANTE;0
201601;26/01/2016;DISCAPACITADOS;0
201601;26/01/2016;ESCUELAS PRIVADAS;0
201601;26/01/2016;ESCUELAS PUBLICAS;0
201601;26/01/2016;EXTRANJEROS;0
201601;26/01/2016;GUIA ACOMPAÑANTE;0
201601;26/01/2016;INVITACION;0
201601;26/01/2016;JUBILADOS;0
201601;26/01/2016;MENORES;0
201601;26/01/2016;UNIV. RESIDENTES;0
201601;26/01/2016;RESIDENTES;393
201601;26/01/2016;GENERAL;730
201601;27/01/2016;DISC. ACOMPAÑANTE;0
201601;27/01/2016;DISCAPACITADOS;0
201601;27/01/2016;ESCUELAS PRIVADAS;0
201601;27/01/2016;ESCUELAS PUBLICAS;0
201601;27/01/2016;EXTRANJEROS;0
201601;27/01/2016;GUIA ACOMPAÑANTE;0
201601;27/01/2016;INVITACION;0
201601;27/01/2016;JUBILADOS;0
201601;27/01/2016;MENORES;0
201601;27/01/2016;UNIV. RESIDENTES;0
201601;27/01/2016;RESIDENTES;416
201601;27/01/2016;GENERAL;534
201601;28/01/2016;DISC. ACOMPAÑANTE;0
201601;28/01/2016;DISCAPACITADOS;0
201601;28/01/2016;ESCUELAS PRIVADAS;0
201601;28/01/2016;ESCUELAS PUBLICAS;0
201601;28/01/2016;EXTRANJEROS;0
201601;28/01/2016;GUIA ACOMPAÑANTE;0
201601;28/01/2016;INVITACION;0
201601;28/01/2016;MENORES;0
201601;28/01/2016;UNIV. RESIDENTES;0
201601;28/01/2016;JUBILADOS;2
201601;28/01/2016;RESIDENTES;343
201601;28/01/2016;GENERAL;609
201601;29/01/2016;DISC. ACOMPAÑANTE;0
201601;29/01/2016;DISCAPACITADOS;0
201601;29/01/2016;ESCUELAS PRIVADAS;0
201601;29/01/2016;ESCUELAS PUBLICAS;0
201601;29/01/2016;EXTRANJEROS;0
201601;29/01/2016;GUIA ACOMPAÑANTE;0
201601;29/01/2016;INVITACION;0
201601;29/01/2016;JUBILADOS;0
201601;29/01/2016;MENORES;0
201601;29/01/2016;UNIV. RESIDENTES;0
201601;29/01/2016;RESIDENTES;312
201601;29/01/2016;GENERAL;511
201601;30/01/2016;DISC. ACOMPAÑANTE;0
201601;30/01/2016;DISCAPACITADOS;0
201601;30/01/2016;ESCUELAS PRIVADAS;0
201601;30/01/2016;ESCUELAS PUBLICAS;0
201601;30/01/2016;EXTRANJEROS;0
201601;30/01/2016;GUIA ACOMPAÑANTE;0
201601;30/01/2016;INVITACION;0
201601;30/01/2016;JUBILADOS;0
201601;30/01/2016;MENORES;0
201601;30/01/2016;UNIV. RESIDENTES;0
201601;30/01/2016;RESIDENTES;414
201601;30/01/2016;GENERAL;486
201601;31/01/2016;DISC. ACOMPAÑANTE;0
201601;31/01/2016;DISCAPACITADOS;0
201601;31/01/2016;ESCUELAS PRIVADAS;0
201601;31/01/2016;ESCUELAS PUBLICAS;0
201601;31/01/2016;EXTRANJEROS;0
201601;31/01/2016;GUIA ACOMPAÑANTE;0
201601;31/01/2016;INVITACION;0
201601;31/01/2016;JUBILADOS;0
201601;31/01/2016;MENORES;0
201601;31/01/2016;UNIV. RESIDENTES;0
201601;31/01/2016;GENERAL;370
201601;31/01/2016;RESIDENTES;404
201602;01/02/2016;DISC. ACOMPAÑANTE;0
201602;01/02/2016;DISCAPACITADOS;0
201602;01/02/2016;ESCUELAS PUBLICAS;0
201602;01/02/2016;EXTRANJEROS;0
201602;01/02/2016;GUIA ACOMPAÑANTE;0
201602;01/02/2016;INVITACION;0
201602;01/02/2016;MENORES;0
201602;01/02/2016;ESCUELAS PRIVADAS;1
201602;01/02/2016;UNIV. RESIDENTES;27
201602;01/02/2016;JUBILADOS;88
201602;01/02/2016;RESIDENTES;278
201602;01/02/2016;GENERAL;659
201602;02/02/2016;DISC. ACOMPAÑANTE;0
201602;02/02/2016;DISCAPACITADOS;0
201602;02/02/2016;ESCUELAS PRIVADAS;0
201602;02/02/2016;ESCUELAS PUBLICAS;0
201602;02/02/2016;EXTRANJEROS;0
201602;02/02/2016;GUIA ACOMPAÑANTE;0
201602;02/02/2016;INVITACION;0
201602;02/02/2016;JUBILADOS;0
201602;02/02/2016;MENORES;0
201602;02/02/2016;UNIV. RESIDENTES;0
201602;02/02/2016;RESIDENTES;337
201602;02/02/2016;GENERAL;546
201602;03/02/2016;DISC. ACOMPAÑANTE;0
201602;03/02/2016;DISCAPACITADOS;0
201602;03/02/2016;ESCUELAS PRIVADAS;0
201602;03/02/2016;ESCUELAS PUBLICAS;0
201602;03/02/2016;EXTRANJEROS;0
201602;03/02/2016;GUIA ACOMPAÑANTE;0
201602;03/02/2016;INVITACION;0
201602;03/02/2016;JUBILADOS;0
201602;03/02/2016;MENORES;0
201602;03/02/2016;UNIV. RESIDENTES;0
201602;03/02/2016;RESIDENTES;295
201602;03/02/2016;GENERAL;509
201602;04/02/2016;DISC. ACOMPAÑANTE;0
201602;04/02/2016;DISCAPACITADOS;0
201602;04/02/2016;ESCUELAS PRIVADAS;0
201602;04/02/2016;ESCUELAS PUBLICAS;0
201602;04/02/2016;EXTRANJEROS;0
201602;04/02/2016;GUIA ACOMPAÑANTE;0
201602;04/02/2016;INVITACION;0
201602;04/02/2016;JUBILADOS;0
201602;04/02/2016;MENORES;0
201602;04/02/2016;UNIV. RESIDENTES;0
201602;04/02/2016;RESIDENTES;374
201602;04/02/2016;GENERAL;394
201602;05/02/2016;DISC. ACOMPAÑANTE;0
201602;05/02/2016;DISCAPACITADOS;0
201602;05/02/2016;ESCUELAS PRIVADAS;0
201602;05/02/2016;ESCUELAS PUBLICAS;0
201602;05/02/2016;EXTRANJEROS;0
201602;05/02/2016;GUIA ACOMPAÑANTE;0
201602;05/02/2016;INVITACION;0
201602;05/02/2016;JUBILADOS;0
201602;05/02/2016;MENORES;0
201602;05/02/2016;UNIV. RESIDENTES;0
201602;05/02/2016;RESIDENTES;261
201602;05/02/2016;GENERAL;391
201602;06/02/2016;DISC. ACOMPAÑANTE;0
201602;06/02/2016;DISCAPACITADOS;0
201602;06/02/2016;ESCUELAS PRIVADAS;0
201602;06/02/2016;ESCUELAS PUBLICAS;0
201602;06/02/2016;EXTRANJEROS;0
201602;06/02/2016;GUIA ACOMPAÑANTE;0
201602;06/02/2016;INVITACION;0
