"Origen","Destino","Booking"
"Buenos Aires, Argentina","Catriel, Argentina",2
"Buenos Aires, Argentina","Caucete, Argentina",1
"Buenos Aires, Argentina","Ceres, Argentina",2
"Buenos Aires, Argentina","Chacabuco, Argentina",15
"Buenos Aires, Argentina","Chajari, Argentina",4
"Buenos Aires, Argentina","Chapadmalal, Argentina",3
"Buenos Aires, Argentina","Charata, Argentina",2
"Buenos Aires, Argentina","Chascomus, Argentina",13
"Buenos Aires, Argentina","Chimpay, Argentina",1
"Buenos Aires, Argentina","Choele Choel, Argentina",11
"Buenos Aires, Argentina","Cipolletti, Argentina",25
"Buenos Aires, Argentina","Claromeco, Argentina",11
"Buenos Aires, Argentina","Clorinda, Argentina",3
"Buenos Aires, Argentina","Colon, Argentina",2
"Buenos Aires, Argentina","Colonia Dora, Argentina",1
"Buenos Aires, Argentina","Comandante Luis Piedra Buena, Argentina",1
"Buenos Aires, Argentina","Comodoro Rivadavia, Argentina",3950
"Buenos Aires, Argentina","Concepcion, Argentina",7
"Buenos Aires, Argentina","Concordia, Argentina",14
"Buenos Aires, Argentina","Cordoba, Argentina",20658
"Buenos Aires, Argentina","Coronel Dorrego, Argentina",10
"Buenos Aires, Argentina","Coronel Hilario Lagos, Argentina",1
"Buenos Aires, Argentina","Coronel Pringles, Argentina",8
"Buenos Aires, Argentina","Coronel Suarez, Argentina",32
"Buenos Aires, Argentina","Coronel Vidal, Argentina",4
"Buenos Aires, Argentina","Corrientes, Argentina",1503
"Buenos Aires, Argentina","Cosquin, Argentina",19
"Buenos Aires, Argentina","Curuzu Cuatia, Argentina",7
"Buenos Aires, Argentina","Cutral-Co, Argentina",4
"Buenos Aires, Argentina","Dolores, Argentina",12
"Buenos Aires, Argentina","El Calafate, Argentina",5977
"Buenos Aires, Argentina","El Dorado, Argentina",15
"Buenos Aires, Argentina","Empedrado, Argentina",2
"Buenos Aires, Argentina","Esperanza, Argentina",5
"Buenos Aires, Argentina","Esquel, Argentina",695
"Buenos Aires, Argentina","Esquina, Argentina",2
"Buenos Aires, Argentina","Famailla, Argentina",1
"Buenos Aires, Argentina","Federacion, Argentina",2
"Buenos Aires, Argentina","Federal, Argentina",2
"Buenos Aires, Argentina","Formosa, Argentina",1465
"Buenos Aires, Argentina","General Acha, Argentina",1
"Buenos Aires, Argentina","General Alvear, Argentina",3
"Buenos Aires, Argentina","General Jose De San Martin, Argentina",2
"Buenos Aires, Argentina","General Pico, Argentina",35
"Buenos Aires, Argentina","General Roca, Argentina",14
"Buenos Aires, Argentina","General Viamonte, Argentina",1
"Buenos Aires, Argentina","General Villega, Argentina",4
"Buenos Aires, Argentina","Gobernador Ingeniero Valentin Virasoro, Argentina",5
"Buenos Aires, Argentina","Goya, Argentina",10
"Buenos Aires, Argentina","Gualeguaychu, Argentina",6
"Buenos Aires, Argentina","Huerta Grande, Argentina",6
"Buenos Aires, Argentina","Itati, Argentina",1
"Buenos Aires, Argentina","Jardin America, Argentina",2
"Buenos Aires, Argentina","Junin De Los Andes, Argentina",4
"Buenos Aires, Argentina","Junin, Argentina",89
"Buenos Aires, Argentina","Justo Daract, Argentina",2
"Buenos Aires, Argentina","La Banda, Argentina",5
"Buenos Aires, Argentina","La Cumbre, Argentina",9
"Buenos Aires, Argentina","La Falda, Argentina",28
"Buenos Aires, Argentina","La Lucila Del Mar, Argentina",55
