LNG;LAT;ID;PLAZA;TIPO;TIPO_NORMA;MATERIALES;DIAS_Y_HOR;COOPERATIV;CALLE;ALTURA;CALLE2;DIRECCION_;BARRIO;COMUNA;OBSERVACIO
-58.4626639515872;-34.5801101790133;16;PLAZA 25 DE AGOSTO;PUNTO VERDE CON ATENCION;PUNTO_VERDE_CON_ATENCION;PAPEL / CARTON / VIDRIO / METAL / PLASTICO / TETRA-BRIK / TELGOPOR / ACEITE VEGETAL USADO;MIERCOLES A DOMINGOS DE 11 A 19 HS.;AMANECER;CHARLONE;0;HEREDIA;CHARLONE Y HEREDIA;VILLA ORTUZAR;COMUNA 15;PARA ENTREGAR LOS MATERIALES, ESTOS DEBEN ESTAR LIMPIOS Y SECOS
-58.4078113133035;-34.5977740370326;17;PLAZA MONSEÑOR DE ANDREA;PUNTO VERDE CON ATENCION;PUNTO_VERDE_CON_ATENCION;PAPEL / CARTON / VIDRIO / METAL / PLASTICO / TETRA-BRIK / TELGOPOR / ACEITE VEGETAL USADO;MIERCOLES A DOMINGOS DE 11 A 19 HS.;CEIBO;ANCHORENA;0;AV. CORDOBA;ANCHORENA, TOMAS MANUEL DE, DR. Y CORDOBA AV.;BALVANERA;COMUNA 3;PARA ENTREGAR LOS MATERIALES, ESTOS DEBEN ESTAR LIMPIOS Y SECOS
-58.4934643909014;-34.6058758112926;18;PLAZA ARISTOBULO DEL VALLE;PUNTO VERDE CON ATENCION;PUNTO_VERDE_CON_ATENCION;PAPEL / CARTON / VIDRIO / METAL / PLASTICO / TETRA-BRIK / TELGOPOR / ACEITE VEGETAL USADO;MIERCOLES A DOMINGOS DE 11 A 19 HS.;ALAMO;CAMPANA;0;BAIGORRIA;CAMPANA Y BAIGORRIA;VILLA DEL PARQUE;COMUNA 11;PARA ENTREGAR LOS MATERIALES, ESTOS DEBEN ESTAR LIMPIOS Y SECOS
-58.3981260096034;-34.611182741221;19;PLAZA 1RO DE MAYO;PUNTO VERDE CON ATENCION;PUNTO_VERDE_CON_ATENCION;PAPEL / CARTON / VIDRIO / METAL / PLASTICO / TETRA-BRIK / TELGOPOR / ACEITE VEGETAL USADO;MIERCOLES A DOMINGOS DE 11 A 19 HS.;AMANECER;HIPOLITO YRIGOYEN;0;PASCO;YRIGOYEN, HIPOLITO Y PASCO;BALVANERA;COMUNA 3;PARA ENTREGAR LOS MATERIALES, ESTOS DEBEN ESTAR LIMPIOS Y SECOS
-58.4127311056659;-34.622099829347;20;PLAZA BOEDO;PUNTO VERDE CON ATENCION;PUNTO_VERDE_CON_ATENCION;PAPEL / CARTON / VIDRIO / METAL / PLASTICO / TETRA-BRIK / TELGOPOR / ACEITE VEGETAL USADO;MIERCOLES A DOMINGOS DE 11 A 19 HS.;AMANECER;ESTADOS UNIDOS;0;SANCHEZ DE LORIA;ESTADOS UNIDOS Y SANCHEZ DE LORIA;BOEDO;COMUNA 5;PARA ENTREGAR LOS MATERIALES, ESTOS DEBEN ESTAR LIMPIOS Y SECOS
-58.4753055220067;-34.6878324250602;21;PLAZAÂ SUDAMERICA;PUNTO VERDE CON ATENCION;PUNTO_VERDE_CON_ATENCION;PAPEL / CARTON / VIDRIO / METAL / PLASTICO / TETRA-BRIK / TELGOPOR / ACEITE VEGETAL USADO;MIERCOLES A DOMINGOS DE 11 A 19 HS.;BAIRES CERO;PIEDRA BUENA AV.;0;FERNANDEZ DE LA CRUZ, F. GRAL., AV.;PIEDRA BUENA AV. Y FERNANDEZ DE LA CRUZ, F., GRAL. AV.;VILLA RIACHUELO;COMUNA 8;PARA ENTREGAR LOS MATERIALES, ESTOS DEBEN ESTAR LIMPIOS Y SECOS
-58.448553913197;-34.5922406687306;22;PARQUE LOS ANDES;PUNTO VERDE CON ATENCION;PUNTO_VERDE_CON_ATENCION;PAPEL / CARTON / VIDRIO / METAL / PLASTICO / TETRA-BRIK / TELGOPOR / ACEITE VEGETAL USADO;MIERCOLES A DOMINGOS DE 11 A 19 HS.;AMANECER;DORREGO AV.;0;AV. GUZMAN;DORREGO AV. Y GUZMAN;CHACARITA;COMUNA 15;PARA ENTREGAR LOS MATERIALES, ESTOS DEBEN ESTAR LIMPIOS Y SECOS
-58.4161625492261;-34.5892930194736;23;PLAZA GÜEMES;PUNTO VERDE CON ATENCION;PUNTO_VERDE_CON_ATENCION;PAPEL / CARTON / VIDRIO / METAL / PLASTICO / TETRA-BRIK / TELGOPOR / ACEITE VEGETAL USADO;MIERCOLES A DOMINGOS DE 11 A 19 HS.;CEIBO;MEDRANO;0;CHARCAS;MEDRANO Y CHARCAS;PALERMO;COMUNA 14;PARA ENTREGAR LOS MATERIALES, ESTOS DEBEN ESTAR LIMPIOS Y SECOS
-58.4548527674067;-34.5612313937598;24;PLAZA GRAL. MANUEL BELGRANO;PUNTO VERDE CON ATENCION;PUNTO_VERDE_CON_ATENCION;PAPEL / CARTON / VIDRIO / METAL / PLASTICO / TETRA-BRIK / TELGOPOR / ACEITE VEGETAL USADO;MIERCOLES A DOMINGOS DE 11 A 19 HS.;MADRESELVA;CUBA;0;AV. JURAMENTO;CUBA Y JURAMENTO AV.;BELGRANO;COMUNA 13;PARA ENTREGAR LOS MATERIALES, ESTOS DEBEN ESTAR LIMPIOS Y SECOS
-58.5124292567045;-34.6003541927164;25;PUNTO VERDE ESPECIAL - PLAZA ARENALES;PUNTO VERDE ESPECIAL;PUNTO_VERDE_ESPECIAL;APARATOS DE INFORMATICA Y COMUNICACION (HASTA 3 UNIDADES MAS SUS ACCESORIOS) / PEQUEÑOS ELECTRODOMESTICOS (HASTA 3 UNIDADES) / PAPEL / CARTON / METAL / VIDRIO / PLASTICO / TELGOPOR / TETRA-BRICK;MIERCOLES A DOMINGOS DE 10 A 19 HS.;;NUEVA YORK;0;MERCEDES;NUEVA YORK Y MERCEDES;VILLA DEVOTO;COMUNA 11;PARA ENTREGAR LOS MATERIALES, ESTOS DEBEN ESTAR LIMPIOS Y SECOS
-58.5084848960134;-34.6264557896207;26;PLAZA DON BOSCO;PUNTO VERDE CON ATENCION;PUNTO_VERDE_CON_ATENCION;PAPEL / CARTON / VIDRIO / METAL / PLASTICO / TETRA-BRIK / TELGOPOR / ACEITE VEGETAL USADO;MIERCOLES A DOMINGOS DE 11 A 19 HS.;RUO;LOPE DE VEGA AV.;0;ELPIDIO GONZALEZ;LOPE DE VEGA AV. Y GONZALEZ, ELPIDIO;MONTE CASTRO;COMUNA 10;PARA ENTREGAR LOS MATERIALES, ESTOS DEBEN ESTAR LIMPIOS Y SECOS
-58.4817947238897;-34.6433319447114;27;PARQUE AVELLANEDA;PUNTO VERDE CON ATENCION;PUNTO_VERDE_CON_ATENCION;PAPEL / CARTON / VIDRIO / METAL / PLASTICO / TETRA-BRIK / TELGOPOR / ACEITE VEGETAL USADO;MIERCOLES A DOMINGOS DE 11 A 19 HS.;RUO;AV DIRECTORIO;0;FERNANDEZ;DIRECTORIO AV. Y FERNANDEZ;PARQUE AVELLANEDA;COMUNA 9;PARA ENTREGAR LOS MATERIALES, ESTOS DEBEN ESTAR LIMPIOS Y SECOS
-58.4642200355938;-34.6280359189893;28;PLAZA PUEYRREDON;PUNTO VERDE CON ATENCION;PUNTO_VERDE_CON_ATENCION;PAPEL / CARTON / VIDRIO / METAL / PLASTICO / TETRA-BRIK / TELGOPOR / ACEITE VEGETAL USADO;MIERCOLES A DOMINGOS DE 11 A 19 HS.;RUO;YERBAL;0;ARTIGAS;YERBAL Y ARTIGAS, JOSE GERVASIO, GRAL.;FLORES;COMUNA 7;PARA ENTREGAR LOS MATERIALES, ESTOS DEBEN ESTAR LIMPIOS Y SECOS
-58.4341927502845;-34.6174901201364;29;PARQUE RIVADAVIA;PUNTO VERDE CON ATENCION;PUNTO_VERDE_CON_ATENCION;PAPEL / CARTON / VIDRIO / METAL / PLASTICO / TETRA-BRIK / TELGOPOR / ACEITE VEGETAL USADO;MIERCOLES A DOMINGOS DE 11 A 19 HS.;AMANECER;RIVADAVIA AV.;0;FLORENCIO BALCARCE;RIVADAVIA AV. Y BALCARCE, FLORENCIO;CABALLITO;COMUNA 6;PARA ENTREGAR LOS MATERIALES, ESTOS DEBEN ESTAR LIMPIOS Y SECOS
-58.4054010939297;-34.6372529634786;30;PARQUE PATRICIOS;PUNTO VERDE CON ATENCION;PUNTO_VERDE_CON_ATENCION;PAPEL / CARTON / VIDRIO / METAL / PLASTICO / TETRA-BRIK / TELGOPOR / ACEITE VEGETAL USADO;MIERCOLES A DOMINGOS DE 11 A 19 HS.;TRABAJO Y DIGNIDAD;CASEROS AV.;0;MONTEAGUDO;CASEROS AV. Y MONTEAGUDO;PARQUE PATRICIOS;COMUNA 4;PARA ENTREGAR LOS MATERIALES, ESTOS DEBEN ESTAR LIMPIOS Y SECOS
-58.3660212877511;-34.6123377501642;31;PUERTO MADERO;PUNTO VERDE CON ATENCION;PUNTO_VERDE_CON_ATENCION;PAPEL / CARTON / VIDRIO / METAL / PLASTICO / TETRA-BRIK / TELGOPOR / ACEITE VEGETAL USADO;MIERCOLES A DOMINGOS DE 11 A 19 HS.;CEIBO;ALICIA MOREAU DE JUSTO;0;AZUCENA VILLAFLOR;MOREAU DE JUSTO, ALICIA AV. Y VILLAFLOR, AZUCENA;PUERTO MADERO;COMUNA 1;PARA ENTREGAR LOS MATERIALES, ESTOS DEBEN ESTAR LIMPIOS Y SECOS
-58.3773980822608;-34.5955386221801;32;PLAZA SAN MARTIN;PUNTO VERDE CON ATENCION;PUNTO_VERDE_CON_ATENCION;PAPEL / CARTON / VIDRIO / METAL / PLASTICO / TETRA-BRIK / TELGOPOR / ACEITE VEGETAL USADO;MIERCOLES A DOMINGOS DE 11 A 19 HS.;AMANECER;AV. SANTA FE;0;MAIPU;SANTA FE AV. Y MAIPU;RETIRO;COMUNA 1;PARA ENTREGAR LOS MATERIALES, ESTOS DEBEN ESTAR LIMPIOS Y SECOS
-58.4047256146205;-34.6242514813174;33;PLAZA VEA;PUNTO VERDE CON ATENCION;PUNTO_VERDE_CON_ATENCION;PAPEL / CARTON / VIDRIO / METAL / PLASTICO / TETRA-BRIK / TELGOPOR / ACEITE VEGETAL USADO;MIERCOLES A DOMINGOS DE 11 A 19 HS.;AMANECER;SAN JUAN;0;DEAN FUNES;SAN JUAN AV. Y DEAN FUNES;SAN CRISTOBAL;COMUNA 3;PARA ENTREGAR LOS MATERIALES, ESTOS DEBEN ESTAR LIMPIOS Y SECOS
-58.4647672702473;-34.6775016157103;34;VILLA 20;PUNTO VERDE CON ATENCION;PUNTO_VERDE_CON_ATENCION;PAPEL / CARTON / VIDRIO / METAL / PLASTICO / TETRA-BRIK / TELGOPOR / ACEITE VEGETAL USADO;MIERCOLES A DOMINGOS DE 11 A 19 HS.;BAIRES CERO;POLA;0;FERNANDEZ DE LA CRUZ;POLA Y FERNANDEZ DE LA CRUZ, F., GRAL. AV.;VILLA LUGANO;COMUNA 8;PARA ENTREGAR LOS MATERIALES, ESTOS DEBEN ESTAR LIMPIOS Y SECOS
-58.4594488066595;-34.6138849526817;35;PLAZA IRLANDA;PUNTO VERDE CON ATENCION;PUNTO_VERDE_CON_ATENCION;PAPEL / CARTON / VIDRIO / METAL / PLASTICO / TETRA-BRIK / TELGOPOR / ACEITE VEGETAL USADO;MIERCOLES A DOMINGOS DE 11 A 19 HS.;RUO;DONATO ÃLVAREZ;0;GAONA;ALVAREZ, DONATO, TTE. GRAL. Y GAONA AV.;CABALLITO;COMUNA 6;PARA ENTREGAR LOS MATERIALES, ESTOS DEBEN ESTAR LIMPIOS Y SECOS
-58.4877573473134;-34.5595618078195;36;PLAZA ALBERDI;PUNTO VERDE CON ATENCION;PUNTO_VERDE_CON_ATENCION;PAPEL / CARTON / VIDRIO / METAL / PLASTICO / TETRA-BRIK / TELGOPOR / ACEITE VEGETAL USADO;MIERCOLES A DOMINGOS DE 11 A 19 HS.;MADRESELVA;LARRALDE;0;MARIANO ACHA;LARRALDE, CRISOLOGO AV. Y ACHA, MARIANO, GRAL.;SAAVEDRA;COMUNA 12;PARA ENTREGAR LOS MATERIALES, ESTOS DEBEN ESTAR LIMPIOS Y SECOS
-58.4493151966832;-34.6363793541752;37;ESTACION MEDALLA MILAGROSA (SUBTE E);PUNTO VERDE CON ATENCION;PUNTO_VERDE_CON_ATENCION;PAPEL / CARTON / VIDRIO / METAL / PLASTICO / TETRA-BRIK / TELGOPOR / ACEITE VEGETAL USADO;MIERCOLES A DOMINGOS DE 11 A 19 HS.;RUO;AV. EVA PERON;1900;;PERON, EVA AV. 1900;PARQUE CHACABUCO;COMUNA 7;PARA ENTREGAR LOS MATERIALES, ESTOS DEBEN ESTAR LIMPIOS Y SECOS
