PERIODO;ORIGENFECHA;ORIGENESTACIONID;ORIGENNOMBRE;DESTINOFECHA;DESTINOESTACIONID;DESTINONOMBRE;TIEMPOUSO
2010;30/12/2010 13:15;7;PLAZA ROMA;30/12/2010 14:49;7;PLAZA ROMA;94
2010;30/12/2010 13:15;5;ADUANA;30/12/2010 13:31;3;RETIRO;16
2010;30/12/2010 13:14;7;PLAZA ROMA;30/12/2010 14:48;7;PLAZA ROMA;94
2010;30/12/2010 13:13;7;PLAZA ROMA;30/12/2010 14:42;7;PLAZA ROMA;89
2010;30/12/2010 13:12;7;PLAZA ROMA;30/12/2010 14:44;7;PLAZA ROMA;92
2010;30/12/2010 13:11;6;DERECHO;30/12/2010 13:32;7;PLAZA ROMA;20
2010;30/12/2010 13:09;5;ADUANA;30/12/2010 14:52;5;ADUANA;103
2010;30/12/2010 13:03;7;PLAZA ROMA;30/12/2010 13:47;7;PLAZA ROMA;45
2010;30/12/2010 12:35;5;ADUANA;30/12/2010 12:45;7;PLAZA ROMA;10
2010;30/12/2010 12:27;5;ADUANA;30/12/2010 14:07;5;ADUANA;100
2010;30/12/2010 12:21;3;RETIRO;30/12/2010 13:55;5;ADUANA;94
2010;30/12/2010 12:19;7;PLAZA ROMA;30/12/2010 12:58;7;PLAZA ROMA;38
2010;30/12/2010 12:14;3;RETIRO;30/12/2010 12:27;6;DERECHO;13
2010;30/12/2010 12:02;5;ADUANA;30/12/2010 12:12;3;RETIRO;10
2010;30/12/2010 12:02;5;ADUANA;30/12/2010 12:13;3;RETIRO;11
2010;30/12/2010 12:00;5;ADUANA;30/12/2010 12:17;3;RETIRO;16
2010;30/12/2010 11:54;6;DERECHO;30/12/2010 13:29;6;DERECHO;95
2010;30/12/2010 11:52;3;RETIRO;30/12/2010 11:59;7;PLAZA ROMA;7
2010;30/12/2010 11:46;5;ADUANA;30/12/2010 12:29;5;ADUANA;44
2010;30/12/2010 11:34;5;ADUANA;30/12/2010 13:11;7;PLAZA ROMA;96
2010;30/12/2010 11:33;5;ADUANA;30/12/2010 12:07;5;ADUANA;34
2010;30/12/2010 11:32;7;PLAZA ROMA;30/12/2010 11:52;7;PLAZA ROMA;20
2010;30/12/2010 11:22;5;ADUANA;30/12/2010 11:53;7;PLAZA ROMA;31
2010;30/12/2010 11:08;7;PLAZA ROMA;30/12/2010 11:57;5;ADUANA;49
2010;30/12/2010 10:56;7;PLAZA ROMA;30/12/2010 12:41;6;DERECHO;104
