ID;OBJETO_OBRA;CANTIDAD_OBJETOS;MATERIAL;DENOMINACION_SIMBOLIZA;AUTORES;UBICACION;OBSERVACIONES;DIRECCION_NORMALIZADA;CALLE;ALTURA;BARRIO;COMUNA;CODIGA_POSTAL;CODIGO_POSTAL_ARGENTINO;LATITUD;LONGITUD
374;MONUMENTO OBELISCO ;1;MAMPOSTERIA               ;HJE. AL IV∞ CENT. FUNDACION DE BS. A;E.A.I.M.                   ;PLAZA DE LA REPUBLICA            ;PLAZA DE LA REPUBLICA            ;CORRIENTES AV. 1066                                                   ;CORRIENTES AV.                                 ;1066;SAN NICOLAS;COMUNA 1;1043;C1043AAX;-34.6036068647746;-58.38180145567765
375;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;ESCUDO DE CORDOBA                      ;FERRARO, JUAN CARLOS       ;PLAZA DE LA REPUBLICA            ;PLAZA DE LA REPUBLICA            ;CORRIENTES AV. 1066                                                   ;CORRIENTES AV.                                 ;1066;BELGRANO;COMUNA 1;1043;C1043AAX;-34.6036068647746;-58.38180145567765
376;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE.AL CAFE DE HANSEN                  ;D.G.O.M.                   ;AVDAS. F.ALCORTA Y SARMIENTO     ;AVDAS. F.ALCORTA Y SARMIENTO     ;FIGUEROA ALCORTA, PRES. AV. Y SARMIENTO AV.                           ;FIGUEROA ALCORTA, PRES. AV.                    ;;SAN NICOLAS;COMUNA 14;;;-34.571545801660946;-58.41158090327671
377;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;ESCUDO DE STGO. DEL ESTERO             ;FERRARO, JUAN CARLOS       ;PLAZA DE LA REPUBLICA            ;PLAZA DE LA REPUBLICA            ;CORRIENTES AV. 1066                                                   ;CORRIENTES AV.                                 ;1066;SAN NICOLAS;COMUNA 1;1043;C1043AAX;-34.6036068647746;-58.38180145567765
378;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;NOMENCLATURA DE PLAZOLETA              ;D.G.O.M.                   ;PZTA.TTE.GRAL.EDUARDO RACEDO     ;PZTA.TTE.GRAL.EDUARDO RACEDO     ;                                                                      ;                                               ;;SAN NICOLAS;;;;;
379;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE.MUNICIPAL A LAS ISLAS MALVINAS     ;D.G.O.M.                   ;AV.FIGUEROA ALCORTA Y TAGLE      ;AV.FIGUEROA ALCORTA Y TAGLE      ;FIGUEROA ALCORTA, PRES. AV. Y TAGLE                                   ;FIGUEROA ALCORTA, PRES. AV.                    ;;;COMUNA 14;;;-34.58069901985333;-58.39811521123685
380;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE.A CRISTOBAL M. HICKEN              ;D.G.O.M.                   ;CEMENTERIO DE LA RECOLETA        ;CEMENTERIO DE LA RECOLETA        ;JUNIN 1760                                                            ;JUNIN                                          ;1760;SAN NICOLAS;COMUNA 2;1113;C1113AAT;-34.58813529168293;-58.39238435125078
381;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE.A JUAN BAUTISTA ALBERDI            ;D.G.O.M.                   ;CEMENTERIO DE LA RECOLETA        ;CEMENTERIO DE LA RECOLETA        ;JUNIN 1760                                                            ;JUNIN                                          ;1760;NUÒEZ;COMUNA 2;1113;C1113AAT;-34.58813529168293;-58.39238435125078
382;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;ESCUDO DE SANTA FE                     ;FERRARO, JUAN CARLOS       ;PLAZA DE LA REPUBLICA            ;PLAZA DE LA REPUBLICA            ;CORRIENTES AV. 1066                                                   ;CORRIENTES AV.                                 ;1066;SAN NICOLAS;COMUNA 1;1043;C1043AAX;-34.6036068647746;-58.38180145567765
383;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;ESCUDO DE BUENOS AIRES                 ;FERRARO, JUAN CARLOS       ;PLAZA DE LA REPUBLICA            ;PLAZA DE LA REPUBLICA            ;CORRIENTES AV. 1066                                                   ;CORRIENTES AV.                                 ;1066;PALERMO;COMUNA 1;1043;C1043AAX;-34.6036068647746;-58.38180145567765
384;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;ESCUDO DEL NEUQUEN                     ;FERRARO, JUAN CARLOS       ;PLAZA DE LA REPUBLICA            ;PLAZA DE LA REPUBLICA            ;CORRIENTES AV. 1066                                                   ;CORRIENTES AV.                                 ;1066;SAN NICOLAS;COMUNA 1;1043;C1043AAX;-34.6036068647746;-58.38180145567765
385;MONOLITO           ;1;MAMPOSTERIA               ;SUSTENTACION DE PLACA 2176             ;M.O.A.                     ;PLAZA DE LA REPUBLICA            ;PLAZA DE LA REPUBLICA            ;CORRIENTES AV. 1066                                                   ;CORRIENTES AV.                                 ;1066;SAN NICOLAS;COMUNA 1;1043;C1043AAX;-34.6036068647746;-58.38180145567765
386;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE.A JULIO DE CARO                    ;D.G.O.M.                   ;PZTA.  JULIO DE CARO             ;PZTA.  JULIO DE CARO             ;DEL LIBERTADOR AV. 1201                                               ;DEL LIBERTADOR AV.                             ;1201;PALERMO;COMUNA 2;1112;C1112ABC;-34.585314237304964;-58.3886610931241
387;PLACA              ;1;CEMENTO PATINADO          ;ESCUDO TIERRA DEL FUEGO, ANTARTIDA E IS;M.O.A.                     ;PLAZA DE LA REPUBLICA            ;PLAZA DE LA REPUBLICA            ;CORRIENTES AV. 1066                                                   ;CORRIENTES AV.                                 ;1066;SAN NICOLAS;COMUNA 1;1043;C1043AAX;-34.6036068647746;-58.38180145567765
388;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE.A CONSEJERA LOPEZ GAMUNDI          ;D.G.O.M.                   ;PZTA.DEL ARBOL                   ;PZTA.DEL ARBOL                   ;AGUERO 1395                                                           ;AGUERO                                         ;1395;;COMUNA 2;1425;C1425EHE;-34.59320838299206;-58.408464908147735
389;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;NOMENCLATURA OBRA 98                   ;D.G.O.M.                   ;PZTA.CANDIDO DE LASALA           ;PZTA.CANDIDO DE LASALA           ;SANTA FE AV. 716                                                      ;SANTA FE AV.                                   ;716;PALERMO;COMUNA 1;1059;C1059ABO;-34.595555678644054;-58.3773309797337
390;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;NOMENCLATURA OBRA 106                  ;D.G.O.M.                   ;PZTA.JUVENILIA                   ;PZTA.JUVENILIA                   ;                                                                      ;                                               ;;RECOLETA;;;;;
391;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;ARBOL DE CONSERVACION OBLIGATORIA      ;D.G.O.M.                   ;ESMERALDA Y ARENALES             ;ESMERALDA Y ARENALES             ;ESMERALDA Y ARENALES                                                  ;ESMERALDA                                      ;;RECOLETA;COMUNA 1;;;-34.59409499936338;-58.37854401711538
392;PLACA Y MONOLITO   ;1;ALUMINIO                  ;ESCUDO DE CORRIENTES                   ;M.O.A.                     ;PLAZA DE LA REPUBLICA            ;PLAZA DE LA REPUBLICA            ;CORRIENTES AV. 1066                                                   ;CORRIENTES AV.                                 ;1066;SAN NICOLAS;COMUNA 1;1043;C1043AAX;-34.6036068647746;-58.38180145567765
393;PLACA Y MONOLITO   ;1;ALUMINIO                  ;ESCUDO DE SANTA FE                     ;M.O.A.                     ;PLAZA DE LA REPUBLICA            ;PLAZA DE LA REPUBLICA            ;CORRIENTES AV. 1066                                                   ;CORRIENTES AV.                                 ;1066;SAN NICOLAS;COMUNA 1;1043;C1043AAX;-34.6036068647746;-58.38180145567765
394;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE.AL DR. HONORIO PUEYRREDON          ;D.G.O.M.                   ;JUNCAL, CERRITO Y C.PELLEGRINI   ;JUNCAL, CERRITO Y C.PELLEGRINI   ;                                                                      ;                                               ;;SAN NICOLAS;;;;;
395;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE.REVOLUCION DE 1890                 ;D.G.O.M.                   ;PZTA.AZUCENA MAIZANI             ;PZTA.AZUCENA MAIZANI             ;                                                                      ;                                               ;;SAN NICOLAS;;;;;
396;PLACA Y MONOLITO   ;1;ALUMINIO                  ;ESCUDO DE SANTA CRUZ                   ;M.O.A.                     ;PLAZA DE LA REPUBLICA            ;PLAZA DE LA REPUBLICA            ;CORRIENTES AV. 1066                                                   ;CORRIENTES AV.                                 ;1066;RECOLETA;COMUNA 1;1043;C1043AAX;-34.6036068647746;-58.38180145567765
397;PLACA Y MONOLITO   ;1;ALUMINIO                  ;ESCUDO DE BUENOS AIRES                 ;M.O.A.                     ;PLAZA DE LA REPUBLICA            ;PLAZA DE LA REPUBLICA            ;CORRIENTES AV. 1066                                                   ;CORRIENTES AV.                                 ;1066;SAN NICOLAS;COMUNA 1;1043;C1043AAX;-34.6036068647746;-58.38180145567765
398;PLACA Y MONOLITO   ;1;ALUMINIO                  ;ESCUDO DEL CHUBUT                      ;M.O.A.                     ;PLAZA DE LA REPUBLICA            ;PLAZA DE LA REPUBLICA            ;CORRIENTES AV. 1066                                                   ;CORRIENTES AV.                                 ;1066;RECOLETA;COMUNA 1;1043;C1043AAX;-34.6036068647746;-58.38180145567765
399;PLACA Y MONOLITO   ;1;ALUMINIO                  ;ESCUDO DE NEUQUEN                      ;M.O.A.                     ;PLAZA DE LA REPUBLICA            ;PLAZA DE LA REPUBLICA            ;CORRIENTES AV. 1066                                                   ;CORRIENTES AV.                                 ;1066;RETIRO;COMUNA 1;1043;C1043AAX;-34.6036068647746;-58.38180145567765
400;PLACA Y MONOLITO   ;1;ALUMINIO                  ;ESCUDO DE LA PAMPA                     ;M.O.A.                     ;PLAZA DE LA REPUBLICA            ;PLAZA DE LA REPUBLICA            ;CORRIENTES AV. 1066                                                   ;CORRIENTES AV.                                 ;1066;;COMUNA 1;1043;C1043AAX;-34.6036068647746;-58.38180145567765
401;PLACA Y MONOLITO   ;1;ALUMINIO                  ;ESCUDO DE RIO NEGRO                    ;M.O.A.                     ;PLAZA DE LA REPUBLICA            ;PLAZA DE LA REPUBLICA            ;CORRIENTES AV. 1066                                                   ;CORRIENTES AV.                                 ;1066;RETIRO;COMUNA 1;1043;C1043AAX;-34.6036068647746;-58.38180145567765
402;TEMPLETE           ;1;MAMPOSTERIA Y MAYOLICA    ;VIRGEN DE LUJAN                        ;D.G.O.M.                   ;AV.GENERAL PAZ Y JUAN B.JUSTO    ;AV.GENERAL PAZ Y JUAN B.JUSTO    ;PAZ, GRAL. AV. Y JUSTO, JUAN B. AV.                                   ;PAZ, GRAL. AV.                                 ;;SAN NICOLAS;COMUNA 10;;;-34.634686548121465;-58.52899576163767
403;MONOLITO MONUMENTAL;1;                          ;HOMENAJE AL DEPORTE                    ;D.G.O.M.                   ;AVDAS.GENERAL PAZ Y ROCA         ;AVDAS.GENERAL PAZ Y ROCA         ;PAZ, GRAL. AV. Y ROCA, CNEL. AV.                                      ;PAZ, GRAL. AV.                                 ;;SAN NICOLAS;COMUNA 8;;;-34.698431182542535;-58.4706449718
404;PLACA Y MONOLITO   ;1;ALUMINIO                  ;ESCUDO DEL SAN LUIS                    ;M.O.A.                     ;PLAZA DE LA REPUBLICA            ;PLAZA DE LA REPUBLICA            ;CORRIENTES AV. 1066                                                   ;CORRIENTES AV.                                 ;1066;;COMUNA 1;1043;C1043AAX;-34.6036068647746;-58.38180145567765
405;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;MAPA DE LA REPUBLICA ARGENTINA         ;TOTO, CARLOS MARIA         ;PLAZA DE LA REPUBLICA            ;PLAZA DE LA REPUBLICA            ;CORRIENTES AV. 1066                                                   ;CORRIENTES AV.                                 ;1066;;COMUNA 1;1043;C1043AAX;-34.6036068647746;-58.38180145567765
406;PLACA              ;1;MARMOL                    ;HJE. 1∞IZAMIENTO BANDERA NACIONAL   ;                           ;PLAZA DE LA REPUBLICA            ;PLAZA DE LA REPUBLICA            ;CORRIENTES AV. 1066                                                   ;CORRIENTES AV.                                 ;1066;SAN NICOLAS;COMUNA 1;1043;C1043AAX;-34.6036068647746;-58.38180145567765
407;PLACA              ;1;MARMOL                    ;HJE. A ALBERTO PREBISCH                ;                           ;PLAZA DE LA REPUBLICA            ;PLAZA DE LA REPUBLICA            ;CORRIENTES AV. 1066                                                   ;CORRIENTES AV.                                 ;1066;SAN NICOLAS;COMUNA 1;1043;C1043AAX;-34.6036068647746;-58.38180145567765
408;PLACA              ;1;MARMOL                    ;POEMA EL OBELISCO DE B.F. MORENO       ;                           ;PLAZA DE LA REPUBLICA            ;PLAZA DE LA REPUBLICA            ;CORRIENTES AV. 1066                                                   ;CORRIENTES AV.                                 ;1066;SAN NICOLAS;COMUNA 1;1043;C1043AAX;-34.6036068647746;-58.38180145567765
409;PLACA              ;1;MARMOL                    ;HJE. A ARISTIDES DE SOUSA MENDES       ;                           ;PLAZA DE LA SHOA                 ;PLAZA DE LA SHOA                 ;DEL LIBERTADOR AV. 3883                                               ;DEL LIBERTADOR AV.                             ;3883;SAN NICOLAS;COMUNA 14;1425;C1425ABL;-34.571531773964686;-58.42281214797015
410;PLACA              ;1;MARMOL                    ;HJE. A EMILIE Y OSKAR SCHINDLER        ;                           ;PLAZA DE LA SHOA                 ;PLAZA DE LA SHOA                 ;DEL LIBERTADOR AV. 3883                                               ;DEL LIBERTADOR AV.                             ;3883;SAN NICOLAS;COMUNA 14;1425;C1425ABL;-34.571531773964686;-58.42281214797015
411;MASTIL             ;1;HIERRO Y MAMPOSTERIA      ;HOMENAJE A LA BANDERA                  ;D.G.O.P.                   ;AV. SANTA FE N∞ 2301          ;AV. SANTA FE N∞ 2301          ;                                                                      ;                                               ;;SAN NICOLAS;;;;;
412;PLACA              ;1;MARMOL                    ;HJE. A ARA JERETZIAN                   ;                           ;PLAZA DE LA SHOA                 ;PLAZA DE LA SHOA                 ;DEL LIBERTADOR AV. 3883                                               ;DEL LIBERTADOR AV.                             ;3883;VERSALLES;COMUNA 14;1425;C1425ABL;-34.571531773964686;-58.42281214797015
413;PLACA              ;1;MARMOL                    ;HJE. A ANTON SCHIMID                   ;                           ;PLAZA DE LA SHOA                 ;PLAZA DE LA SHOA                 ;DEL LIBERTADOR AV. 3883                                               ;DEL LIBERTADOR AV.                             ;3883;VILLA RIACHUELO;COMUNA 14;1425;C1425ABL;-34.571531773964686;-58.42281214797015
414;PLACA              ;1;BRONCE                    ;HJE.AL DR. SANTIAGO CAPORALE           ;D.G.O.P.                   ;PASAJE PESCADORES Y AV. RIVADAVIA;PASAJE PESCADORES Y AV. RIVADAVIA;PESCADORES Y RIVADAVIA AV.                                            ;PESCADORES                                     ;;SAN NICOLAS;COMUNA 7;;;-34.628996284682636;-58.463242817414525
415;PLACA              ;1;BRONCE                    ;HJE. A HERMINIA BRUMANA                ;D.G.O.P.                   ;PZTA. HERMINIA BRUMANA           ;PZTA. HERMINIA BRUMANA           ;BILBAO, FRANCISCO 2301                                                ;BILBAO, FRANCISCO                              ;2301;SAN NICOLAS;COMUNA 7;1406;C1406FFU;-34.63369121271799;-58.45878862931252
416;PLACA              ;1;MARMOL                    ;HJE. A ANNA Y IOSIF NAZARUK            ;                           ;PLAZA DE LA SHOA                 ;PLAZA DE LA SHOA                 ;DEL LIBERTADOR AV. 3883                                               ;DEL LIBERTADOR AV.                             ;3883;SAN NICOLAS;COMUNA 14;1425;C1425ABL;-34.571531773964686;-58.42281214797015
417;PLACA              ;1;BRONCE                    ;HJE. A LA COLECTIVIDAD COREANA         ;D.G.O.P.                   ;PARQUE CHACABUCO                 ;PARQUE CHACABUCO                 ;PERON, EVA AV. 1410                                                   ;PERON, EVA AV.                                 ;1410;SAN NICOLAS;COMUNA 7;1406;C1406HMP;-34.632902763217736;-58.44476251965362
418;PLACA              ;1;MARMOL                    ;HJE. A LUIZ MARTINS DE SOUSA DANTAS    ;                           ;PLAZA DE LA SHOA                 ;PLAZA DE LA SHOA                 ;DEL LIBERTADOR AV. 3883                                               ;DEL LIBERTADOR AV.                             ;3883;SAN NICOLAS;COMUNA 14;1425;C1425ABL;-34.571531773964686;-58.42281214797015
419;PLACA              ;1;BRONCE                    ;HJE. A HAROLDO CONTI                   ;D.G.O.P.                   ;PZTA. HAROLDO CONTI              ;PZTA. HAROLDO CONTI              ;CALABRIA AV. Y VERA PE—ALOZA,  ROSARIO                            ;CALABRIA AV.                                   ;;PALERMO;COMUNA 1;;;-34.61715677387748;-58.358085545619254
420;PLACA              ;1;BRONCE                    ;HJE. AL CAP.V.ALMANDOS ALMONACID       ;D.G.O.P.                   ;CANTERO CENTRAL PROV. DE LA RIOJA;CANTERO CENTRAL PROV. DE LA RIOJA;                                                                      ;                                               ;;PALERMO;;;;;
421;PLACA              ;1;MARMOL                    ;HJE. A DIMITAR PESHEV                  ;                           ;PLAZA DE LA SHOA                 ;PLAZA DE LA SHOA                 ;DEL LIBERTADOR AV. 3883                                               ;DEL LIBERTADOR AV.                             ;3883;;COMUNA 14;1425;C1425ABL;-34.571531773964686;-58.42281214797015
422;PLACA              ;1;MARMOL                    ;HJE. A MARIA ERRAZURIZ                 ;                           ;PLAZA DE LA SHOA                 ;PLAZA DE LA SHOA                 ;DEL LIBERTADOR AV. 3883                                               ;DEL LIBERTADOR AV.                             ;3883;PALERMO;COMUNA 14;1425;C1425ABL;-34.571531773964686;-58.42281214797015
423;PLACA              ;1;BRONCE                    ;HJE. AL BARRIO PARQUE C.SAAVEDRA       ;D.G.O.P.                   ;BARRIO BRIG.GRAL.C.DE SAAVEDRA   ;BARRIO BRIG.GRAL.C.DE SAAVEDRA   ;                                                                      ;                                               ;;PALERMO;;;;;
424;PLACA              ;1;MARMOL                    ;HJE. A HO FENG SHAN                    ;                           ;PLAZA DE LA SHOA                 ;PLAZA DE LA SHOA                 ;DEL LIBERTADOR AV. 3883                                               ;DEL LIBERTADOR AV.                             ;3883;FLORES;COMUNA 14;1425;C1425ABL;-34.571531773964686;-58.42281214797015
425;PLACA              ;1;BRONCE                    ;HJE.A CARLOS A. PUEYRREDON             ;D.G.O.P.                   ;PZTA.DR.CARLOS A. PUEYRREDON     ;PZTA.DR.CARLOS A. PUEYRREDON     ;                                                                      ;                                               ;;FLORES;;;;;
426;PLACA              ;1;MARMOL                    ;HJE. A ZARKO DOLINAR                   ;                           ;PLAZA DE LA SHOA                 ;PLAZA DE LA SHOA                 ;DEL LIBERTADOR AV. 3883                                               ;DEL LIBERTADOR AV.                             ;3883;PALERMO;COMUNA 14;1425;C1425ABL;-34.571531773964686;-58.42281214797015
427;PLACA              ;1;BRONCE                    ;HJE.A JULIO CORTAZAR                   ;D.G.O.P.                   ;PZTA. JULIO CORTAZAR             ;PZTA. JULIO CORTAZAR             ;BORGES, JORGE LUIS Y HONDURAS                                         ;BORGES, JORGE LUIS                             ;;PARQUE CHACABUCO;COMUNA 14;;;-34.58862539217248;-58.43032676182649
428;PLACA              ;1;MARMOL                    ;HJE. AL PUEBLO DANES                   ;                           ;PLAZA DE LA SHOA                 ;PLAZA DE LA SHOA                 ;DEL LIBERTADOR AV. 3883                                               ;DEL LIBERTADOR AV.                             ;3883;PALERMO;COMUNA 14;1425;C1425ABL;-34.571531773964686;-58.42281214797015
429;PLACA              ;1;MARMOL                    ;HJE. A MANUEL MU?OZ ROMERO          ;                           ;PLAZA DE LA SHOA                 ;PLAZA DE LA SHOA                 ;DEL LIBERTADOR AV. 3883                                               ;DEL LIBERTADOR AV.                             ;3883;PUERTO MADERO;COMUNA 14;1425;C1425ABL;-34.571531773964686;-58.42281214797015
430;PLACA              ;1;BRONCE                    ;NOMENCLATURA MTO. HJE. DEMOCRACIA      ;D.G.O.P.                   ;PZTA.PROVINCIA DE TUCUMAN        ;PZTA.PROVINCIA DE TUCUMAN        ;                                                                      ;                                               ;;;;;;;
431;PLACA              ;1;BRONCE                    ;HJE.A RAUL SOLDI                       ;D.G.O.P.                   ;PZTA. RAUL SOLDI                 ;PZTA. RAUL SOLDI                 ;DEL LIBERTADOR AV. 1247                                               ;DEL LIBERTADOR AV.                             ;1247;PALERMO;COMUNA 2;1112;C1112ABC;-34.58500714616178;-58.38991440402013
432;PLACA              ;1;MARMOL                    ;HJE. A JULES GERAUD SALIEGE            ;                           ;PLAZA DE LA SHOA                 ;PLAZA DE LA SHOA                 ;DEL LIBERTADOR AV. 3883                                               ;DEL LIBERTADOR AV.                             ;3883;PALERMO;COMUNA 14;1425;C1425ABL;-34.571531773964686;-58.42281214797015
433;PLACA              ;1;MARMOL                    ;HJE. A DIMITRIOS CHRYSOSTOMOS          ;                           ;PLAZA DE LA SHOA                 ;PLAZA DE LA SHOA                 ;DEL LIBERTADOR AV. 3883                                               ;DEL LIBERTADOR AV.                             ;3883;;COMUNA 14;1425;C1425ABL;-34.571531773964686;-58.42281214797015
434;PLACA              ;1;MARMOL                    ;HJE. A ISTVAN ZSIGMOND                 ;                           ;PLAZA DE LA SHOA                 ;PLAZA DE LA SHOA                 ;DEL LIBERTADOR AV. 3883                                               ;DEL LIBERTADOR AV.                             ;3883;PALERMO;COMUNA 14;1425;C1425ABL;-34.571531773964686;-58.42281214797015
435;PLACA              ;1;MARMOL                    ;HJE. A GIORGIO PERLASCA                ;                           ;PLAZA DE LA SHOA                 ;PLAZA DE LA SHOA                 ;DEL LIBERTADOR AV. 3883                                               ;DEL LIBERTADOR AV.                             ;3883;;COMUNA 14;1425;C1425ABL;-34.571531773964686;-58.42281214797015
436;PLACA              ;1;MARMOL                    ;HJE. A SEMPO SUGIHARA                  ;                           ;PLAZA DE LA SHOA                 ;PLAZA DE LA SHOA                 ;DEL LIBERTADOR AV. 3883                                               ;DEL LIBERTADOR AV.                             ;3883;PALERMO;COMUNA 14;1425;C1425ABL;-34.571531773964686;-58.42281214797015
437;PLACA              ;1;MARMOL                    ;HJE. A ANTANAS BABONAS                 ;                           ;PLAZA DE LA SHOA                 ;PLAZA DE LA SHOA                 ;DEL LIBERTADOR AV. 3883                                               ;DEL LIBERTADOR AV.                             ;3883;PALERMO;COMUNA 14;1425;C1425ABL;-34.571531773964686;-58.42281214797015
438;PLACA              ;1;MARMOL                    ;HJE. A JOSE MARIA BARRETO              ;                           ;PLAZA DE LA SHOA                 ;PLAZA DE LA SHOA                 ;DEL LIBERTADOR AV. 3883                                               ;DEL LIBERTADOR AV.                             ;3883;PALERMO;COMUNA 14;1425;C1425ABL;-34.571531773964686;-58.42281214797015
439;PLACA              ;1;MARMOL                    ;HJE. A ANNA BORKOWSKA                  ;                           ;PLAZA DE LA SHOA                 ;PLAZA DE LA SHOA                 ;DEL LIBERTADOR AV. 3883                                               ;DEL LIBERTADOR AV.                             ;3883;PALERMO;COMUNA 14;1425;C1425ABL;-34.571531773964686;-58.42281214797015
440;PLACA              ;1;MARMOL                    ;HJE. A MILENA HERBENOVA                ;                           ;PLAZA DE LA SHOA                 ;PLAZA DE LA SHOA                 ;DEL LIBERTADOR AV. 3883                                               ;DEL LIBERTADOR AV.                             ;3883;;COMUNA 14;1425;C1425ABL;-34.571531773964686;-58.42281214797015
441;PLACA              ;1;MARMOL                    ;HJE. A NIKOLAI LESCHINGER              ;                           ;PLAZA DE LA SHOA                 ;PLAZA DE LA SHOA                 ;DEL LIBERTADOR AV. 3883                                               ;DEL LIBERTADOR AV.                             ;3883;RECOLETA;COMUNA 14;1425;C1425ABL;-34.571531773964686;-58.42281214797015
442;PLACA              ;1;MARMOL                    ;HJE. A RAOUL WALLENBERG                ;                           ;PLAZA DE LA SHOA                 ;PLAZA DE LA SHOA                 ;DEL LIBERTADOR AV. 3883                                               ;DEL LIBERTADOR AV.                             ;3883;PALERMO;COMUNA 14;1425;C1425ABL;-34.571531773964686;-58.42281214797015
443;PLACA              ;1;MARMOL                    ;HJE. A SELAHATTIN ÃLKÃMEN        ;                           ;PLAZA DE LA SHOA                 ;PLAZA DE LA SHOA                 ;DEL LIBERTADOR AV. 3883                                               ;DEL LIBERTADOR AV.                             ;3883;PALERMO;COMUNA 14;1425;C1425ABL;-34.571531773964686;-58.42281214797015
444;PLACA              ;1;MARMOL                    ;HJE. A PAVEL Y LYUBOY GERASIMCHIK      ;                           ;PLAZA DE LA SHOA                 ;PLAZA DE LA SHOA                 ;DEL LIBERTADOR AV. 3883                                               ;DEL LIBERTADOR AV.                             ;3883;PALERMO;COMUNA 14;1425;C1425ABL;-34.571531773964686;-58.42281214797015
445;PLACA              ;1;MARMOL                    ;HJE. A JOSEARTURO CASTELLANOS          ;                           ;PLAZA DE LA SHOA                 ;PLAZA DE LA SHOA                 ;DEL LIBERTADOR AV. 3883                                               ;DEL LIBERTADOR AV.                             ;3883;PALERMO;COMUNA 14;1425;C1425ABL;-34.571531773964686;-58.42281214797015
446;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE.MUN.A PUEBLOS HERMANOS DE AMERICA  ;D.G.O.M                    ;PLAZA DE LAS AMERICAS            ;PLAZA DE LAS AMERICAS            ;                                                                      ;                                               ;;PALERMO;;;;;
447;MONOLITO           ;1;MAMPOSTERIA Y GRANITO     ;SUSTENTACION DE PLACA 2365             ;D.G.O.M Y M.O.A.           ;PLAZA DE LAS AMERICAS            ;PLAZA DE LAS AMERICAS            ;                                                                      ;                                               ;;PALERMO;;;;;
448;ESCULTURA          ;1;ACERO INOXIDABLE          ;FLORALIS GENERICA                      ;CATALANO, EDUARDO          ;PLAZA DE LAS NACIONES UNIDAS     ;PLAZA DE LAS NACIONES UNIDAS     ;FIGUEROA ALCORTA, PRES. AV. 2300                                      ;FIGUEROA ALCORTA, PRES. AV.                    ;2300;PALERMO;COMUNA 2;1425;C1425CKO;-34.583019199953235;-58.39326278540908
449;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE.A LAS NACIONES UNIDAS              ;D.G.O.M.                   ;PLAZA DE LAS NACIONES UNIDAS     ;PLAZA DE LAS NACIONES UNIDAS     ;FIGUEROA ALCORTA, PRES. AV. 2300                                      ;FIGUEROA ALCORTA, PRES. AV.                    ;2300;PALERMO;COMUNA 2;1425;C1425CKO;-34.583019199953235;-58.39326278540908
450;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE. AL ARBOL DEL OLIVO                ;D.G.O.P.                   ;PLAZA DE LAS NACIONES UNIDAS     ;PLAZA DE LAS NACIONES UNIDAS     ;FIGUEROA ALCORTA, PRES. AV. 2300                                      ;FIGUEROA ALCORTA, PRES. AV.                    ;2300;PALERMO;COMUNA 2;1425;C1425CKO;-34.583019199953235;-58.39326278540908
451;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE. A JUAN CARLOS CHIAPPE             ;D.G.O.P.                   ;PARQUE AVELLANEDA                ;PARQUE AVELLANEDA                ;DIRECTORIO AV. Y LACARRA                                              ;DIRECTORIO AV.                                 ;;PALERMO;COMUNA 9;;;-34.6412975520066;-58.47992772490574
452;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE.AL COMISARIO GENERAL J.A.PIRKER    ;D.G.O.P.                   ;PASEO COMISARIO GENERAL J.A.PIRKE;PASEO COMISARIO GENERAL J.A.PIRKE;                                                                      ;                                               ;;PALERMO;;;;;
