ID;OBJETO_OBRA;CANTIDAD_OBJETOS;MATERIAL;DENOMINACION_SIMBOLIZA;AUTORES;UBICACION;OBSERVACIONES;DIRECCION_NORMALIZADA;CALLE;ALTURA;BARRIO;COMUNA;CODIGA_POSTAL;CODIGO_POSTAL_ARGENTINO;LATITUD;LONGITUD
1135;BUSTO              ;1;MARMOL                    ;MANUEL IRICIBAR                        ;PUJIA, ANTONIO             ;PALACIO MUNICIPAL                ;PALACIO MUNICIPAL                ;BOLIVAR 1                                                             ;BOLIVAR                                        ;1;;COMUNA 1;1066;C1066AAA;-34.60820167772438;-58.373573345960764
1136;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE.A LOS CAIDOS EL 6 DE SETIEMBRE     ;E.A.I.M.                   ;PLAZA JUAN XXIII                 ;PLAZA JUAN XXIII                 ;                                                                      ;                                               ;;CONSTITUCION;;;;;
1137;GRUPO ESCULTORICO  ;1;MARMOL                    ;SAGUNTO                                ;QUEROL, AGUSTIN            ;JARDIN BOTANICO                  ;JARDIN BOTANICO                  ;SANTA FE AV. 3951                                                     ;SANTA FE AV.                                   ;3951;CONSTITUCION;COMUNA 14;1425;C1425BHB;-34.58373108070923;-58.41788399273957
1138;MONUMENTO          ;1;BRONCE Y MARMOL           ;LA CARTA MAGNA Y 4 REGIONES ARGENTINAS ;QUEROL, AGUSTIN            ;AVDAS.DEL LIBERTADOR Y SARMIENTO ;AVDAS.DEL LIBERTADOR Y SARMIENTO ;                                                                      ;                                               ;;PALERMO;;;;;
1139;CUADRO             ;1;PINTURA AL OLEO           ;DIA DEL TRABAJO                        ;QUINQUELA MARTIN, B.       ;HOSPITAL SANTOJANNI              ;HOSPITAL SANTOJANNI              ;PILAR 950                                                             ;PILAR                                          ;950;CONSTITUCION;COMUNA 9;1408;C1408INH;-34.64935338226299;-58.51580056467818
1140;MONUMENTO          ;1;MARMOL Y PIEDRA           ;HOMENAJE A LOS CAIDOS EL 6 DE SETIEMBRE;RIGANELLI, AGUSTIN         ;PLAZA JUAN XXIII                 ;PLAZA JUAN XXIII                 ;                                                                      ;                                               ;;;;;;;
1141;MASTIL             ;1;MAMPOSTERIA E HIERRO      ;HJE. A LA BANDERA                      ;                           ;PLAZA JUJUY                      ;PLAZA JUJUY                      ;                                                                      ;                                               ;;COLEGIALES;;;;;
1142;GRUPO ESCULTORICO  ;1;MARMOL                    ;LA MUJER Y EL GATO                     ;REAL DEL SARTE, M.         ;CANTEROS CENTRALES TTE.GRAL.VAREL;CANTEROS CENTRALES TTE.GRAL.VAREL;                                                                      ;                                               ;;COLEGIALES;;;;;
1143;MONUMENTO          ;1;PIEDRA PARIS              ;JUANA DE ARCO EN LA HOGUERA            ;REAL DEL SARTE, M.         ;AVDAS.SARMIENTO Y R.OBLIGADO     ;AVDAS.SARMIENTO Y R.OBLIGADO     ;                                                                      ;                                               ;;;;;;;
1144;MONUMENTO Y FUENTE ;1;BRONCE Y MAMPOSTERIA      ;BALLET NACIONAL                        ;LA CARCOVA Y C.CERRATO     ;PLAZA LAVALLE                    ;PLAZA LAVALLE                    ;CORRIENTES AV. 1145                                                   ;CORRIENTES AV.                                 ;1145;MONSERRAT;COMUNA 1;1043;C1043AAL;-34.603694227045764;-58.38292044962602
