WKT	ID	LINEA	RAMAL	SENTIDO	TIPO_SERVICIO
LINESTRING (-58.408913997353686 -34.609129019568144,-58.406273001270719 -34.608945970588969,-58.406025007115268 -34.60886597238197,-58.405987963207807 -34.609511963675565,-58.405971970801879 -34.609751966641383,-58.405947974533618 -34.610122970789277,-58.405938984782516 -34.610249012628856,-58.405942011422326 -34.610294996490488,-58.405946977954514 -34.610397963430934,-58.405903024322697 -34.610886979865342,-58.405886990476134 -34.611055033740435,-58.405878957184235 -34.611097045333722,-58.405856034041875 -34.611211990772794,-58.405844033143168 -34.611268967349446,-58.405825011407515 -34.611333965039179,-58.405670441282915 -34.612097512572916,-58.405545117059219 -34.612435255516871,-58.404371144521413 -34.612350234260411,-58.404219846343992 -34.613372661022055,-58.404065009126832 -34.614601040256481,-58.403083042163018 -34.614544033022995,-58.403013968143462 -34.614540032138336,-58.402937968456612 -34.614536027822162,-58.40142797101894 -34.614440969750675,-58.40135602188532 -34.6144329	7221	98	B	ida	COMUN BASICO
LINESTRING (-58.408913997353686 -34.609129019568144,-58.406273001270719 -34.608945970588969,-58.406025007115268 -34.60886597238197,-58.405987963207807 -34.609511963675565,-58.405971970801879 -34.609751966641383,-58.405947974533618 -34.610122970789277,-58.405938984782516 -34.610249012628856,-58.405942011422326 -34.610294996490488,-58.405946977954514 -34.610397963430934,-58.405903024322697 -34.610886979865342,-58.405886990476134 -34.611055033740435,-58.405878957184235 -34.611097045333722,-58.405856034041875 -34.611211990772794,-58.405844033143168 -34.611268967349446,-58.405825011407515 -34.611333965039179,-58.405670441282915 -34.612097512572916,-58.405545117059219 -34.612435255516871,-58.404371144521413 -34.612350234260411,-58.404219846343992 -34.613372661022055,-58.404065009126832 -34.614601040256481,-58.403083042163018 -34.614544033022995,-58.403013968143462 -34.614540032138336,-58.402937968456612 -34.614536027822162,-58.40142797101894 -34.614440969750675,-58.40135602188532 -34.6144329	7222	98	C	ida	COMUN BASICO
LINESTRING (-58.408913997353686 -34.609129019568144,-58.406273001270719 -34.608945970588969,-58.406025007115268 -34.60886597238197,-58.405987963207807 -34.609511963675565,-58.405971970801879 -34.609751966641383,-58.405947974533618 -34.610122970789277,-58.405938984782516 -34.610249012628856,-58.405942011422326 -34.610294996490488,-58.405946977954514 -34.610397963430934,-58.405903024322697 -34.610886979865342,-58.405886990476134 -34.611055033740435,-58.405878957184235 -34.611097045333722,-58.405856034041875 -34.611211990772794,-58.405844033143168 -34.611268967349446,-58.405825011407515 -34.611333965039179,-58.405670441282915 -34.612097512572916,-58.405545117059219 -34.612435255516871,-58.404371144521413 -34.612350234260411,-58.404219846343992 -34.613372661022055,-58.404065009126832 -34.614601040256481,-58.403083042163018 -34.614544033022995,-58.403013968143462 -34.614540032138336,-58.402937968456612 -34.614536027822162,-58.40142797101894 -34.614440969750675,-58.40135602188532 -34.6144329	7223	98	D	ida	COMUN BASICO
LINESTRING (-58.408913997353686 -34.609129019568144,-58.406273001270719 -34.608945970588969,-58.406025007115268 -34.60886597238197,-58.405987963207807 -34.609511963675565,-58.405971970801879 -34.609751966641383,-58.405947974533618 -34.610122970789277,-58.405938984782516 -34.610249012628856,-58.405942011422326 -34.610294996490488,-58.405946977954514 -34.610397963430934,-58.405903024322697 -34.610886979865342,-58.405886990476134 -34.611055033740435,-58.405878957184235 -34.611097045333722,-58.405856034041875 -34.611211990772794,-58.405844033143168 -34.611268967349446,-58.405825011407515 -34.611333965039179,-58.405670441282915 -34.612097512572916,-58.405545117059219 -34.612435255516871,-58.404371144521413 -34.612350234260411,-58.404219846343992 -34.613372661022055,-58.404065009126832 -34.614601040256481,-58.403083042163018 -34.614544033022995,-58.403013968143462 -34.614540032138336,-58.402937968456612 -34.614536027822162,-58.40142797101894 -34.614440969750675,-58.40135602188532 -34.6144329	7224	98	E	ida	COMUN BASICO
LINESTRING (-58.223219007816475 -34.710263036343413,-58.223597005447388 -34.710269999726307,-58.225253969594384 -34.709259030804233,-58.22619304213066 -34.708663998264278,-58.227028987120001 -34.708137010080584,-58.227079001586368 -34.708123041849056,-58.228242970591261 -34.707818021874473,-58.229394020768666 -34.707493040655947,-58.230718022976546 -34.707075963927039,-58.230764002916047 -34.707023037378946,-58.231143976287605 -34.707253036909982,-58.232108005438917 -34.707829995650485,-58.233311987156192 -34.708516041475271,-58.233891022066338 -34.708827010016464,-58.234256954817823 -34.709028032088611,-58.234809010352478 -34.709329028074265,-58.235692955577228 -34.709903013589212,-58.236601954153677 -34.71044097517116,-58.23749102799507 -34.710958967772811,-58.238390001910936 -34.711483012807847,-58.239289961719336 -34.712013003551647,-58.240147965567061 -34.712510994380182,-58.241084968392137 -34.713070972573256,-58.241968038219746 -34.713599019385647,-58.242835021417044 -34.7141190	7225	98	A	vuelta	COMUN BASICO
LINESTRING (-58.223219007816475 -34.710263036343413,-58.223597005447388 -34.710269999726307,-58.225253969594384 -34.709259030804233,-58.22619304213066 -34.708663998264278,-58.227028987120001 -34.708137010080584,-58.227079001586368 -34.708123041849056,-58.228242970591261 -34.707818021874473,-58.229394020768666 -34.707493040655947,-58.230718022976546 -34.707075963927039,-58.230764002916047 -34.707023037378946,-58.231143976287605 -34.707253036909982,-58.232108005438917 -34.707829995650485,-58.233311987156192 -34.708516041475271,-58.233891022066338 -34.708827010016464,-58.234256954817823 -34.709028032088611,-58.234809010352478 -34.709329028074265,-58.235692955577228 -34.709903013589212,-58.236601954153677 -34.71044097517116,-58.23749102799507 -34.710958967772811,-58.238390001910936 -34.711483012807847,-58.239289961719336 -34.712013003551647,-58.240147965567061 -34.712510994380182,-58.241084968392137 -34.713070972573256,-58.241968038219746 -34.713599019385647,-58.242835021417044 -34.7141190	7226	98	B	vuelta	COMUN BASICO
LINESTRING (-58.194009996909159 -34.769669025443662,-58.194798039723011 -34.769050017381382,-58.195420965763851 -34.768550012284436,-58.195896953968919 -34.768794034768597,-58.196797997670643 -34.769319018266401,-58.197017004989164 -34.769447972935318,-58.197043983865029 -34.76946498169486,-58.197217031375935 -34.769566968333415,-58.198071964834838 -34.77000402697125,-58.198326987895847 -34.770115025756965,-58.197700008411736 -34.770870006361065,-58.197045984911682 -34.771736992193361,-58.196444979534945 -34.772534036817575,-58.195791010243781 -34.773403990972376,-58.195072027163604 -34.774282003017753,-58.195658034793844 -34.775546957042238,-58.196185991295764 -34.774860021220249,-58.19694498506427 -34.775245036074182,-58.197490041202499 -34.775546994770266,-58.197494000015602 -34.775548986890108,-58.198549028517483 -34.774808010560704,-58.19921096672784 -34.773977007653443,-58.199845975651904 -34.773137017129073,-58.200484032402613 -34.77229802145952,-58.2010850434839 -34.77157200205	7227	98	C	vuelta	COMUN BASICO
LINESTRING (-58.194009996909159 -34.769669025443662,-58.194798039723011 -34.769050017381382,-58.195420965763851 -34.768550012284436,-58.195896953968919 -34.768794034768597,-58.196797997670643 -34.769319018266401,-58.197017004989164 -34.769447972935318,-58.197043983865029 -34.76946498169486,-58.197217031375935 -34.769566968333415,-58.198071964834838 -34.77000402697125,-58.198326987895847 -34.770115025756965,-58.197700008411736 -34.770870006361065,-58.197045984911682 -34.771736992193361,-58.196444979534945 -34.772534036817575,-58.195791010243781 -34.773403990972376,-58.195072027163604 -34.774282003017753,-58.195658034793844 -34.775546957042238,-58.196185991295764 -34.774860021220249,-58.19694498506427 -34.775245036074182,-58.197490041202499 -34.775546994770266,-58.197494000015602 -34.775548986890108,-58.198549028517483 -34.774808010560704,-58.19921096672784 -34.773977007653443,-58.199845975651904 -34.773137017129073,-58.200484032402613 -34.77229802145952,-58.2010850434839 -34.77157200205	7228	98	D	vuelta	COMUN BASICO
LINESTRING (-58.194009996909159 -34.769669025443662,-58.194798039723011 -34.769050017381382,-58.195420965763851 -34.768550012284436,-58.195896953968919 -34.768794034768597,-58.196797997670643 -34.769319018266401,-58.197017004989164 -34.769447972935318,-58.197043983865029 -34.76946498169486,-58.197217031375935 -34.769566968333415,-58.198071964834838 -34.77000402697125,-58.198326987895847 -34.770115025756965,-58.197700008411736 -34.770870006361065,-58.197045984911682 -34.771736992193361,-58.196444979534945 -34.772534036817575,-58.195791010243781 -34.773403990972376,-58.195072027163604 -34.774282003017753,-58.195658034793844 -34.775546957042238,-58.196185991295764 -34.774860021220249,-58.19694498506427 -34.775245036074182,-58.197490041202499 -34.775546994770266,-58.197494000015602 -34.775548986890108,-58.198549028517483 -34.774808010560704,-58.19921096672784 -34.773977007653443,-58.199845975651904 -34.773137017129073,-58.200484032402613 -34.77229802145952,-58.2010850434839 -34.77157200205	7229	98	E	vuelta	COMUN BASICO
LINESTRING (-58.300555997695149 -34.689086982927869,-58.301351986649856 -34.689785970867355,-58.302076990162057 -34.690422018233228,-58.302809975267387 -34.691033007124588,-58.303571007928532 -34.691670986133936,-58.304326972598744 -34.692328969353696,-58.304018954657884 -34.692582009446866,-58.302948985432579 -34.693370957189344,-58.301895023184194 -34.694251970216193,-58.300798970287808 -34.695099017784408,-58.301543012494001 -34.695735002964042,-58.3026230311227 -34.694892976711238,-58.303700970477728 -34.694043995681518,-58.304749017980093 -34.693232022130481,-58.305049023603715 -34.692978969855247,-58.305811968591833 -34.693623969697036,-58.30658098360945 -34.694302962930308,-58.306269005714618 -34.694555011791223,-58.306688977605091 -34.694901044483927,-58.307078031183096 -34.695220979906594,-58.308055995376769 -34.696017979688591,-58.309158970558258 -34.695143016076138,-58.310692966345229 -34.693933995679551,-58.310601014264513 -34.693853007131835,-58.311277956228167 -34.6933530	7230	98	F	vuelta	COMUN BASICO
